department_name,found_sources,not_found_sources,total_records,table_rows,section_rows,crawl_errors,rows_with_course_code,rows_with_grade,status
건축공학부,1,0,1,0,0,1,0,0,crawl_failed
건축학전공,1,0,1,0,0,1,0,0,crawl_failed
경제학과,1,0,1,0,0,1,0,0,crawl_failed
교육학과,1,0,1,0,0,1,0,0,crawl_failed
국제통상학과,3,0,1,0,0,1,0,0,crawl_failed
국제통상학전공,3,0,1,0,0,1,0,0,crawl_failed
글로벌무역학과,1,0,1,0,0,1,0,0,crawl_failed
다전공,1,0,1,0,0,1,0,0,crawl_failed
물리 · 반도체과학부,3,0,1,0,0,1,0,0,crawl_failed
물리반도체과학부,4,0,3,0,0,3,0,0,crawl_failed
물리학과,3,0,1,0,0,1,0,0,crawl_failed
범죄학과,2,0,1,0,0,1,0,0,crawl_failed
북한학전공,1,0,1,0,0,1,0,0,crawl_failed
사회복지상담학과,1,0,1,0,0,1,0,0,crawl_failed
사회복지학과,2,0,1,0,0,1,0,0,crawl_failed
사회학전공,2,0,1,0,0,1,0,0,crawl_failed
산업시스템공학과,1,0,1,0,0,1,0,0,crawl_failed
생명과학과,3,0,1,0,0,1,0,0,crawl_failed
수학과,2,0,1,0,0,1,0,0,crawl_failed
시스템반도체학부,3,0,2,0,0,2,0,0,crawl_failed
식품바이오융합공학과,1,0,1,0,0,1,0,0,crawl_failed
식품산업관리학과,2,0,1,0,0,1,0,0,crawl_failed
열린전공학부,1,0,1,0,0,1,0,0,crawl_failed
영화영상학과,2,0,1,0,0,1,0,0,crawl_failed
융합환경과학과,1,0,1,0,0,1,0,0,crawl_failed
의료인공지능공학과,4,0,2,0,0,2,0,0,crawl_failed
일본학과,1,0,1,0,0,1,0,0,crawl_failed
전자전기공학부,5,0,3,0,0,3,0,0,crawl_failed
정보통신공학과,3,0,2,0,0,2,0,0,crawl_failed
정보통신공학전공,3,0,2,0,0,2,0,0,crawl_failed
중어중문학과,2,0,2,0,0,2,0,0,crawl_failed
지능형네트워크융합학과,2,0,2,0,0,2,0,0,crawl_failed
통계학과,1,0,1,0,0,1,0,0,crawl_failed
행정학전공,1,0,1,0,0,1,0,0,crawl_failed
회계학과,1,0,1,0,0,1,0,0,crawl_failed
국어국문문예창작학부,1,0,0,0,0,0,0,0,no_output
기계로봇에너지공학과,2,0,0,0,0,0,0,0,no_output
미디어커뮤니케이션학전공,1,0,0,0,0,0,0,0,no_output
의생명공학과,1,0,0,0,0,0,0,0,no_output
철학과,1,0,0,0,0,0,0,0,no_output
화공생물공학과,1,0,0,0,0,0,0,0,no_output
경영학과,2,0,29,0,28,1,0,0,section_only
사학과,2,0,1,0,1,0,0,0,section_only
연극학부,1,0,3,0,3,0,0,0,section_only
건설환경공학과,0,1,0,0,0,0,0,0,source_missing
경영정보학과,0,1,0,0,0,0,0,0,source_missing
경찰행정학부,0,1,0,0,0,0,0,0,source_missing
문화유산학과,0,1,0,0,0,0,0,0,source_missing
문화재학과,0,1,0,0,0,0,0,0,source_missing
미술학부,0,1,0,0,0,0,0,0,source_missing
법학과,0,1,0,0,0,0,0,0,source_missing
불교학과,0,1,0,0,0,0,0,0,source_missing
불교학부,0,1,0,0,0,0,0,0,source_missing
약학과,0,1,0,0,0,0,0,0,source_missing
에너지신소재공학과,0,1,0,0,0,0,0,0,source_missing
영어영문학부,0,1,0,0,0,0,0,0,source_missing
정치외교학전공,0,1,0,0,0,0,0,0,source_missing
컴퓨터·AI학부,0,1,0,0,0,0,0,0,source_missing
화학과,0,1,0,0,0,0,0,0,source_missing
