relative_dir,filename,text
제1편_학교법인,1-0-1. 학교법인 동국대학교 정관(2025.08.05.).hwp,"정 관 (2025.08.05. 개정) 학교법인 동국대학교 학교법인 동국대학교 정관 제 1 장 총 칙 제1조(목적) 이 법인은 대한민국의 교육이념에 입각하여 불교적 인격도야를 통한 고등교육․중등교육․초등교육. 유아교육․기술교육을 실시함을 목적으로 한다.<개정 ’97.03.01> 제2조(명칭) 이 법인은 학교법인 동국대학교(이하 ""법인""이라 한다.)라 한다.<개정 ’04.06.12> 제3조(설치학교) 이 법인은 제1조의 목적을 달성하기 위하여 다음 각 호의 학교를 설치․경영한다. 1. 동국대학교 2. 동국대학교사범대학부속고등학교 3. 동국대학교사범대학부속가람고등학교<개정 ’05.04.28, ‘24.12.03> 4. 동국대학교사범대학부속금산고등학교<개정 ’04.04.03, ’05.11.21> 5. 동국대학교사범대학부속영석고등학교<신설 ’11.01.10> 6. 동국대학교사범대학부속선화여자고등학교<신설 ’22.08.10> 7. 동국대학교사범대학부속중학교<개정 ’11.01.10, ’22.08.08> 8. 동국대학교사범대학부속가람중학교<개정 ’05.04.28, ’11.01.10, ’22.08.08, ‘24.12.03> 9. 동국대학교사범대학부속금산중학교<개정 ’04.40.03, ’05.11.21, ’11.01.10, ’22.08.08> 10. 동국대학교사범대학부속홍제중학교<개정 ’05.11.21, ’11.01.10, ’22.08.08> 11. 은석초등학교<개정 ’96.03.01, ’11.01.10, ’22.08.08> 12. 동국대학교부속유치원<신설 ’97.03.01, 개정 ’98.05.19, ’11.01.10, ’22.08.08> 제4조(주소) 이 법인의 사무소는 서울특별시 중구 필동로 1길 30번지에 둔다.<개정 ‘22.11.22> 제5조(정관의 변경) 이 법인의 정관의 변경은 이사정수의 3분의2이상 찬성으로 이사회의 의결을 거쳐"
제1편_학교법인,1-0-10. 건학위원회 자문단 운영규정(2022.7.12.).hwp,"건학위원회 자문단 운영규정 제1조(목적) 이 규정은 건학위원회규정 제8조 제4항에 의거하여 건학위원회 자문단(이하 ‘자문단’) 구성 및 운영 등에 관한 사항을 규정함을 목적으로 한다. 제2조(기능) ① 자문단은 다음 각 호의 사항을 심의한다. 1. 건학위원회 상임위원회에서 요청한 자문사항 2. 건학위원회 발전을 위한 기금 조성 및 협력 3. 동문기업 및 주요 기업 취업연계 4. 건학위원회 주요 현안 공유 및 동국발전을 위한 제언 ② 제1항에서 규정한 사항 외에 자문단 운영에 필요한 사항은 의결을 거쳐 정한다. 제3조(구성) 자문단은 종회의원, 각급 종정기관 위원, 포교 신도단체 대표자, 명망있는 사회 지도층 불자 등 중에서 다음 각 호와 같이 구성한다. 1. 자문단장(이하 ‘단장’) 2. 자문위원(이하 ‘위원’) 제4조(위원의 위촉) ① 단장은 위원들의 호선으로 선출한다. ② 위원은 건학위원회 최고위원회의 의결로 위촉한다. 제5조(임기) 단장 및 위원의 임기는 3년으로 하며 연임할 수 있다. 다만, 보직자인 경우 임기는 건학위원회 규정 제16조에 따라 보직기간으로 한다. 제6조(회의) ① 자문단의 회의는 정기회의와 임시회의로 구분한다. ② 정기회의는 연 1회 이상 개최하는 것을 원칙으로 하되 운영상 필요에 따라 조정할 수 있다. ③ 임시회의는 자문사항이 발생할 경우 혹은 상임위원회 위원장이 요청할 경우 수시로 개최할 수 있다. ④ 회의를 소집하고자 할 때에는 회의 시작 3일전에 회의의 목적을 명시하여 단장 및 위원에게 통보하여야 한다. 제7조(회의소집과 의결) ① 자문단 회의는 상임위원회 위원장이 소집하며 그 의장이 된다. ② 회의는 상임위원회 위원장 포함 재적위원 과반수의 출석으로 개회하고, 출석위원 과반수의 찬성으로 의결한다. 다만, 가부동수인 경우에는 의장이 결정권을 갖는다. ③ 위원은 회의에 불참 시 위임장을 제출하여 의장에게 의결권한을 위임할 수 있다. 이 경우 해당 위원의 출석으로 간주한다. ④ 필요할 경우 건"
제1편_학교법인,1-0-11. 법인직원인사위원회규정.hwp,"법인직원인사위원회규정 제1조(목적) 이 규정은 본 법인에 설치하는 직원인사위원회(이하 ""위원회"")의 구성, 기능 및 운영에 관한 사항을 정한다. 제2조(구성) ① 위원회는 위원장 1인과 5인 내외의 위원으로 구성한다. ② 위원장은 이사장이 본 법인 이사 중 1인을 위촉한다. ③ 위원은 건학위원회 사무총장, 법인 사무처장을 당연직 위원으로 하고, 이사장이 본 법인 임원 가운데 별도로 위촉하는 약간인으로 구성한다. 위촉직 위원 1명은 부위원장으로 이사장이 임명한다. ④ 위원회의 서무를 처리하기 위해 간사와 서기 각 1인을 둘 수 있다. 제3조(임기) 위원의 임기는 당연직은 보직기간으로 하며, 위촉직은 2년으로 하되 임원의 재임기간으로 한 한다. 제4조(회의의 소집 및 의결) ① 위원회는 위원장이 소집한다. ② 위원회는 재적위원 과반수의 출석으로 개회하고 출석위원 과반수의 찬성으로 의결한다. 단, 가부동수인 경우에는 위원장이 결정권을 갖는다. 제6조(심의사항) 위원회는 다음 사항을 심의한다. 1. 법인사무처 직원의 신규채용 계획 2. 법인사무처 직원의 인사에 관한 사항(승진, 파견, 무기계약직 전환 등) 3. 기타 이사장의 자문이 필요하다고 인정되거나, 위 각 호에 부수되는 사항 제7조(준칙) 이 규정에서 정하지 않은 사항은 위원회의 의결을 거쳐 위원장이 정한다. 부 칙(2023.06.22 제정) 이 규정은 2023년 6월 22일부터 시행한다."
제1편_학교법인,1-0-12. 학교법인 동국대학교 임원 및 교직원 행동강령(2023.12.1.).hwp,"학교법인 동국대학교 임원 및 교직원 행동강령 제1장 총칙 제1조(목적) 이 행동강령은 「사립학교법」 제72조의5 및 「학교법인 동국대학교 정관」 제128조에 따라 학교법인 동국대학교(이하“법인”이라고 한다) 소속 임원 및 교직원이 준수하여야 할 행동의 기준을 규정하는 것을 목적으로 한다. 제2조(정의) 이 행동강령(이하“강령”이라 한다)에서 사용하는 용어의 뜻은 다음과 같다. 1. “임원”이란 「법인 정관」 제24조에 따라 선임된 임원을 말한다. 2. “교직원”이란 법인과 소속 학교에 근무하는 교원 및 직원을 말한다. 3. “직무관련자”란 다음 각 목의 어느 하나에 해당하는 개인 또는 단체를 말한다. 가. 이사장(소속 학교의 장)과 계약을 체결하거나 체결하려는 것이 명백한 개인·법인 또는 단체 나. 이사장(소속 학교의 장)의 정책·사업 등의 결정 또는 집행으로 이익 또는 불이익을 직접적으로 받는 개인·법인 또는 단체 4. “직무관련 임원 및 교직원”이란 임원 및 교직원의 직무수행과 관련하여 이익 또는 불이익을 직접적으로 받는 다른 임원 및 교직원 중 다음 각 목의 어느 하나에 해당하는 임원 및 교직원을 말한다. 가. 임원 및 교직원의 소관업무와 관련하여 직무상 명령을 받는 하급자 나. 인사·예산·감사·상훈 또는 평가 등의 직무 수행 결과에 영향을 받는 임원 및 교직원 4.“금품등”이란 다음 각 목의 어느 하나에 해당하는 것을 말한다. 가. 금전, 유가증권, 부동산, 물품, 숙박권, 회원권, 입장권, 할인권, 초대권, 관람권, 부동산 등의 사용권 등 일체의 재산적 이익 나. 음식물·주류·골프 등의 접대·향응 또는 교통·숙박 등의 편의 제공 다. 채무 면제, 취업 제공, 이권 부여 등 그 밖의 유형·무형의 경제적 이익 제3조(적용범위) 이 강령은 법인과 소속 학교에 속한 모든 임원 및 교직원에게 적용한다. 제2장 공정한 직무수행 제4조(사적 이해관계의 신고 등) ① 임원 및 교직원은 다"
제1편_학교법인,1-0-2. 정관시행세칙(2025.08.05).hwp,"정관시행세칙 (2025.08.05. 개정) 학교법인 동국대학교 학교법인 동국대학교 정관시행세칙 제 1 장 총 칙 제1조(목적) 이 세칙은 학교법인 동국대학교 정관 제119조에 의거 정관을 시행하는데 필요한 사항을 규정함을 목적으로 한다. 제2조(적용) 이 세칙은 학교법인 동국대학교와 대학교, 고등학교, 중학교, 초등학교, 유치원, 법인 부속기관 및 수익사업체 등의 산하기관(이하 ""법인 및 각 기관""이라 칭함)에 적용한다. <개정 ’15.02.23> 제 2 장 건학위원회 <신설 ’21.02.09> 제3조(목적) 법인은 학교법인 정관 제1조에 의거 우리 법인 및 법인산하 대학교, 유치원, 초․중․고등학교, 대학부속병원 등 각급학교와 기관의 건학이념을 구현하기 위해 건학위원회를 둔다. [본조 신설 ’21.02.09] 제3조의2(운영) 건학위원회의 조직 및 기능, 운영에 관하여 필요한 제규정 신설 등의 사항은 이사장이 따로 정한다. [본조 신설 ’21.02.09] 제3조의3(사무) 건학위원회의 사무는 법인사무처가 담당한다. [본조 신설 ’21.02.09] 제 3 장 분과위원회 <개정 ’21.02.09> 제4조(종류) 법인의 효율적 운영을 위하여 이사회에 교육위원회, 의료위원회 등의 분과위원회(이하 ""위원회"" 라 칭함)를 둔다. 다만, 필요한 경우 이사회의 결의에 따라 특별위원회를 둘 수 있다.<개정 ’05.02.18, ’06.12.29> 제5조(기능) 위원회는 다음 각 호의 사항 가운데 이사회에서 위임하거나 이사장이 요청한 사항에 대해 연구 및 심의․의결한다.<개정 ’05.02.18, ’06.12.20> ① 교육위원회<개정 ’05.02.18> 1. 학교의 학과․대학 및 대학원의 신설과 폐지, 학생정원의 조정 등에 관한 사항<개정 ’05.02.18> 2. 학교의 조직 및 인력 운영에 관한 사항<개정 ’05.02.18> 3. 학교의 예산 및 결산의 축조심의에 관한"
제1편_학교법인,1-0-4. 중등학교 교원 신규임용 및 전보에 관한 규정(2022.11.22).hwp,"중등학교교원신규임용및전보에관한규정 제 1 장 총 칙 제1조(목적) 이 규정은 우리 법인 정관시행세칙 제22조에 의거 학교법인 산하 중등학교 교원인사의 신뢰성과 합리성을 확보하기 위해 신규임용과 전보 인사의 시행에 관한 사항을 규정함을 목적으로 한다. 제2조(적용범위) 이 규정은 우리 법인 산하 중학교와 고등학교의 정규 교원에게 적용한다. 다만, 필요한 경우 그 범위를 확대할 수 있다. 제 2 장 중등학교 교원인사자문위원회 제3조(위원회의 구성) ①우리 법인 산하 중학교와 고등학교 교원의 인사에 관한 중요사항을 자문하기 위하여 중등학교 교원인사자문위원회(이하 ‘위원회’라 한다)를 둔다. ② 위원회는 위원장 1명과 약간명의 위원으로 구성한다. ③ 위원회의 위원은 상임이사, 법인사무처장, 동대부속중․고, 동대부속여중․고, 동대부속금산중․고, 동대부속영석고, 동대부속선화여고 및 동대부속홍제중 교장으로 하며, 임기는 해당직위 임용기간으로 한다. <개정 ‘07.3.29, ‘13.11.28, ‘22.11.22> ④ 상임이사가 공석일 때에는 교육위원회 위원장이 위원이 된다.<신설 ‘13.11.28> ⑤ 위원장은 상임이사 또는 교육위원회 위원장이 겸임한다.<신설 ‘07.3.29, 개정 ‘13.11.28> ⑥ 위원회의 사무는 법인사무처 총무부에서 관장한다. 제4조(위원회의 기능) 위원회는 다음 각 호의 사항에 대해 자문한다. 1. 교원 신규임용과 관련한 사항 2. 교원 전보와 관련한 사항 3. 기타 이사장이 회부하는 사항 제5조(위원회의 회의) ①회의는 위원장이 소집한다. ②위원회는 재적위원 과반수의 출석으로 개회하며 과반수의 찬성으로 의결한다. 제 3 장 신규임용 제6조(임용자격기준) 우리 법인의 건학이념을 구현할 수 있는 다양한 능력과 인격, 학문적인 수월성을 겸비한 자로서 다음 각 호에 해당하는 자를 교원으로 임용한다. 1. 건학이념인 불교정신을 이해하고 신앙생활을 하는 자 2. 해당 과목 교원자격증 소지자 3. 교육공무원"
제1편_학교법인,1-0-5. 일반직원 재심위원회 규정(2006.11.29).hwp,일반직원 재심위원회 규정 제1조 (목적) 일반직원의 징계처분 기타 그 의사에 반하는 불리한 처분에 대한 재심을 하게 하기 위하여 법인에 일반직원 재심위원회를 둔다. 제2조 (구성) ①재심위원회는 5인의 위원으로 구성한다. ②재심위원회 위원은 다음 각 호의 1에 해당하는 자 중에서 이사회의 의결을 거쳐 이사장이 위촉한다. 1. 법인 임직원 및 각급 기관 교ㆍ직원 2. 대학에서 법률학을 담당한 조교수 이상의 직에 2년 이상 근무하고 있는 자 3. 법관․검사 또는 변호사의 직에 있는 자 제3조 (위원장 선출 및 직무) ①재심위원회의 위원장은 위원의 호선으로 선출한다. ②재심위원회의 위원장은 위원회를 대표하며 회무를 통리한다. ③위원장이 사고가 있을 때에는 위원장이 미리 지정한 위원이 그 직무를 대행한다. 제4조 (재심의 청구) 일반직원이 징계처분 기타 그 의사에 반하는 불리한 처분에 대하여 불복이 있을 때에는 그 처분이 있은 것을 안 날로부터 30일 이내에 재심위원회에 재심을 청구하여야 한다. 제5조 (재심위원회 심사) ①재심위원회는 재심청구서를 접수한 때에는 30일 이내에 이를 심사하여야 한다. ②재심위원회는 제1항의 심사를 함에 있어서 필요하다고 인정할 때에는 사실의 조사 또는 증인의 환문을 하거나 관계서류의 제출을 요구할 수 있다. ③재심위원회가 재심 사건을 심사하기 위하여 징계 요구기관이나 관계관을 증인으로 소환할 경우에는 해당기관의 장은 이에 응하여야 한다. ④재심위원회는 필요하다고 인정할 때에는 특별한 학식 경험이 있는 자에게 검정 또는 감정을 의뢰할 수 있다. 제6조 (재심청구인의 진술권) ①재심위원회가 재심사건을 심사할 때에는 재심 청구인에게 진술의 기회를 부여하여야 한다. ②제1항의 진술의 기회를 부여하지 아니하고 한 결정은 이를 무효로 한다. 제7조 (재심청구의 취하) 재심청구인은 재심위원회의 결정이 있을 때까지는 청구의 일부 또는 전부를 취하할 수 있다. 제8조 (재심위원회 결정) ①재심위원회의
제1편_학교법인,1-0-6. 총장후보자 추천 위원회 규정(2022.11.22).hwp,"총장후보자 추천 위원회 규정 제 1 장 총 칙 제1조 (목적) 이 규정은 학교법인 동국대학교(이하 “법인”이라 한다) 정관 제43조 제1항에 따라 동국대학교의 총장을 임명함에 있어 총장 적격자를 널리 구하기 위해, 총장후보자를 법인에 추천하는 총장후보자 추천위원회(이하 “총추위”라 한다)의 설치 운영에 관한 사항을 규정함을 목적으로 한다. 제2조 (총장후보자 추천) 총추위는 가장 적격자라고 판단되는 총장후보자 3인 이상 5인 이하를 선정하여 관련된 모든 자료와 함께 무순위로 법인 이사회에 추천한다. 제3조 (총장후보자의 자격요건) 총장 후보자는 불교의 가르침을 이해하고 실천하는 자로, 1. 대학교 발전을 위한 비젼을 제시할 수 있어야 하고, 2. 비젼을 성공적으로 수행할 수 있는 능력을 소지하며, 3. 교육과 행정 및 재정확충 등 대학교의 발전을 위해 헌신할 수 있는 사람이어야 한다. 제 2 장 총장후보자 추천위원회 제4조 (총추위 구성) 총추위는 다음 각호의 1에 해당하는 27인의 위원으로 구성한다. <2010.10.4 개정> - 교원 대표위원 12인 - 직원 대표위원 4인 - 대한불교조계종 대표위원 4인 - 동문 대표위원 2인 - 사회인사 대표위원 3명 - 학부학생 대표위원 1인 - 대학원생 대표위원 1인 제5조 (위원 선정) 총추위 위원의 선정방식은 다음과 같다. ① 교원 대표위원은 서울캠퍼스 각 단과대학별로 학장 주재하에 단과대학 전임교원(정년트랙) 회의를 통하여 각 1인을 선정하고, 일반대학원은 원장 주재하에 전임교원(정년트랙) 회의를 통하여 1인을 선정한다. 다만, 예술대학에는 영상대학원 소속교원과 다르마칼리지 소속 교원이 포함되는 것으로 하고, 사회과학대학에는 경찰사법대학과 미래융합대학 소속교원이 포함되고, 공과대학에는 AI융합대학 소속교원이 포함되는 것으로 한다. <2010.10.4. 2014.10."
제1편_학교법인,1-0-7 WISE부총장후보자 추천 위원회 규정.hwp,"WISE부총장후보자 추천 위원회 규정 <신설 2010.10.04> <개정 2015.08.18.> <전면개정 2019.11.20.> 제 1 장 총 칙 제1조 (목적) 이 규정은 학교법인 동국대학교(이하 “법인”이라 한다) 정관 제43조 제1항에 따라 동국대학교(이하 “본교”라 한다)의 WISE부총장을 임용함에 있어 WISE부총장 적격자를 널리 구하기 위해, WISE부총장후보자를 법인 이사회에 추천하는 WISE부총장후보자 추천위원회(이하 “WISE총추위”라 한다)의 설치 및 운영에 관한 사항을 규정함을 목적으로 한다. 제2조 (정의) 이 규정에서 사용하는 용어의 뜻은 다음 각 호와 같다. “WISE부총장후보대상자”란, WISE총추위가 법인 이사회에 최종 추천할 자를 선출하기 위한 심사의 대상이 되는 자를 말한다. “WISE부총장후보자”란, WISE총추위가 법인 이사회에 추천하기 위하여 최종 선출한 3인 내지 5인을 말한다. 제3조 (WISE부총장후보자 추천) WISE총추위는 가장 적격자라고 판단되는 WISE부총장후보자 3인 이상 5인 이하를 선출하여 법인 이사회에 무순위로 추천하며, 추천시 심사과정에서 사용된 일체의 자료를 함께 제출한다. 제4조 (WISE부총장후보자의 자격) WISE부총장후보자는 불교의 가르침을 이해하고 실천하는 자로, 1. 본교 발전을 위한 비젼을 제시할 수 있어야 하고, 2. 비젼을 성공적으로 수행할 수 있는 능력을 소지하며, 3. 교육과 행정 및 재정확충 등 본교의 발전을 위해 헌신할 수 있는 사람이어야 한다. 제 2 장 WISE부총장후보자 추천위원회 제5조 (WISE총추위 구성) WISE총추위는 다음 각 호를 포함하는 20인의 위원으로 구성한다. 1. 대한불교조계종 대표위원 4인 2. 사회인사 대표위원 3인 3. 동문 대표위원 1인 4. 교원 대표위원 8인 5. 직원 대표위원 3인 6. 학부학생 대표위원 1"
제1편_학교법인,1-0-8. 기금운용심의회 규정(2022.2.22).hwp,"기금운용심의회 규정 제1조(목적) 이 규정은 사립학교법 제32조의3 및 사립학교법 시행령 제14조의5 및 제14조의6에 근거하여 학교법인 기금운용심의회(이하 “본회”라 한다)의 구성·운영 등에 관한 사항을 규정함을 목적으로 한다. 제2조(기능) ① 본회는 다음 각 호의 사항을 심의한다. 1. 매 회계연도 사립학교법 제32조의2 제3항에 따른 기금(이하 “기금”이라 한다) 운용의 계획에 관한 사항 2. 기금 운용에 관한 지침의 제정 및 개정 ② 제1항에서 규정한 사항 외에 본회의 운영에 필요한 사항은 본회의 의결을 거쳐 위원장이 정한다. 제3조(구성) 본회는 위원장 1명을 포함하여 15명 이내의 위원으로 구성하되, 다음 각 호의 사람으로 한다. 이 경우 제1호에 따른 교원, 직원 및 재학생은 각각 2명 이상, 제2호에 따른 외부 전문가는 1명 이상 포함하여야 한다.<개정‘22.02.22> 1. 해당 대학에 재직 중인 교원, 직원 및 재학생 2. 회계 또는 재무관련 외부 전문가 3. 그 밖에 동문 및 학교 발전에 도움이 될 수 있는 사람 ② 당연직위원은 상임이사, 법인사무처장, 총무부장, 기획관리부장, 사업부장으로 한다.<개정‘21.02.02, ‘22.02.22> ③ 위촉위원은 교원, 직원, 학생, 외부 전문가, 동문 및 학교의 발전에 도움이 될 수 있는 사람 중에서 약간 명을 이사장이 위촉한다. ④ 제1항에 따른 회계 또는 재무 관련 외부 전문가는 사립학교법 시행령 제14조의5 제4항에 해당하는 사람으로 한다. ⑤ 위원장은 학교법인동국대학교 이사장으로 한다. ⑥ 본회의 사무 처리를 위하여 간사를 둘 수 있다.<개정‘22.02.22> ⑦ 제1항부터 제6항까지에서 규정한 사항 외에 본회 구성에 필요한 사항은 본회의 심의를 거쳐 위원장이 정한다. ⑧ 본회의 위원은 직무를 수행할 때 외부의 어떠한 지시나 간섭을 받지 아니한다. 제4조(임기) ① 위원장의 임기는 보직 재임기간으로 한다.<개정‘22.02.22> ② 당연직위원 및 위촉위원의 임기는 2년으로"
