내용,주관부서,start,end,일정
학기 개시일,각 학과별,2025-03-01,2025-03-01,2025 03 Mar
개강,각 학과별,2025-03-04,2025-03-04,2025 03 Mar
학부 수강신청 확인 및 정정 바로가기,학사지원팀,2025-03-04,2025-03-10,2025 03 Mar
대학원 수강신청 확인 및 정정,대학원실,2025-03-04,2025-03-10,2025 03 Mar
2025학년도 1학기 휴학 신청(2차) 바로가기,학사지원팀/대학원실,2025-03-07,2025-03-11,2025 03 Mar
"대학원 외국어(영어, 한국어)시험일",대학원실,2025-03-08,2025-03-08,2025 03 Mar
취득교과목 학점포기 신청 바로가기,학사지원팀,2025-03-12,2025-03-14,2025 03 Mar
2025학년도 1학기 학교현장실습 오리엔테이션 바로가기,사범대학 교직부,2025-03-14,2025-03-14,2025 03 Mar
대학원 학위청구논문 초록신청,대학원실,2025-03-17,2025-03-19,2025 03 Mar
수강신청교과목 취소,학사지원팀,2025-03-19,2025-03-21,2025 03 Mar
2025학년도 1학기 휴학 신청(3차) 바로가기,학사지원팀/대학원실,2025-03-19,2025-03-21,2025 03 Mar
교직복수(연계)전공 포기신청,사범대학 교직부,2025-03-19,2025-03-21,2025 03 Mar
조기졸업 신청 바로가기,학사지원팀,2025-03-19,2025-03-21,2025 03 Mar
다전공(복수∙연계∙융합∙학생설계전공) 포기 신청 바로가기,학사지원팀,2025-03-19,2025-03-21,2025 03 Mar
학기 1/4 기준일,,2025-03-27,2025-03-27,2025 03 Mar
4.19혁명 기념 동국인 등산대회 바로가기,학생역량개발팀,2025-04-11,2025-04-11,2025 04 Apr
2025학년도 1학기 중간시험,,2025-04-14,2025-04-18,2025 04 Apr
전공미결정 학부생 전공신청 바로가기,학사지원팀,2025-04-14,2025-04-18,2025 04 Apr
학기 1/2 기준일,,2025-04-23,2025-04-23,2025 04 Apr
다전공(복수∙연계∙융합∙학생설계전공) 포기 신청(2차),학사지원팀,2025-05-01,2025-05-02,2025 05 May
WISE캠퍼스 정규학기 학점교류 신청,WISE캠퍼스/학사지원팀,2025-05-01,2025-05-02,2025 05 May
부처님 오신날,,2025-05-05,2025-05-05,2025 05 May
개교기념일,,2025-05-08,2025-05-08,2025 05 May
재입학 신청 바로가기,학사지원팀/대학원실,2025-05-12,2025-05-23,2025 05 May
여름 계절학기 수강신청 바로가기,학사지원팀,2025-05-14,2025-05-16,2025 05 May
2025년 가을 졸업대상자 졸업논문 제출,각 단과대학,2025-05-19,2025-06-05,2025 05 May
학기 3/4 기준일,,2025-05-20,2025-05-20,2025 05 May
대학원 외국어시험대체강좌 접수 바로가기,대학원실,2025-05-28,2025-05-29,2025 05 May
"2025학년도 1학기 교육봉사 확인서, 응급처치및심폐소생술 타기관이수 확인서 제출",사범대학 교직부,2025-06-02,2025-06-05,2025 06 Jun
전과(전공변경) 신청 바로가기,학사지원팀,2025-06-02,2025-06-09,2025 06 Jun
