학수번호,교과목명,학점,이론,실습,전공구분,이수대상,원어강의,개설학기,비고
STA2005,탐색적자료분석,3,3,,기초,학사2년,영어,2,
STA2013,프로그래밍및실습1,3,2,2,기초,학사1년,,2,
STA2014,프로그래밍및실습2,3,2,2,기초,학사2년,,1,
STA2015,확률과정론,3,3,,기초,학사2년,,2,
STA2017,수리통계학1,3,3,,,기초,학사2년,1,대학통계및실습1 대학통계및실습2 선수권장
STA2021,수리통계학2,3,3,,기초,학사2년,,2,대학통계및실습1 대학통계및실습2 수리통계학1 선수권장
STA2018,선형계획법,3,3,,기초,학사2년,,1,
STA2019,통계수학및R실습,3,2,2,기초,학사2년,,1,
STA2020,통계계산및그래픽실습,3,2,2,기초,학사2년,,2,
STA4004,다변량해석,3,3,,전문,"학사3,4년",,1,대학통계및실습1 대학통계및실습2 수리통계학1 수리통계학2 선수권장
STA4005,데이터마이닝,3,3,,전문,"학사3,4년",,1,
STA4006,범주형자료분석,3,3,,전문,"학사3,4년",,2,
STA4008,비모수통계학,3,3,,전문,"학사3,4년",영어,1,
STA4011,시계열해석,3,3,,전문,"학사3,4년",,2,
STA4012,실험계획법,3,3,,전문,"학사3,4년",영어,2,
STA4016,통계모델링및컨설팅1,3,3,,전문,"학사3,4년",,1,
STA4017,통계모델링및컨설팅2,3,3,,전문,"학사3,4년",,2,
STA4020,통계적품질관리,3,3,,전문,"학사3,4년",영어,2,
STA4034,회귀해석,3,3,,전문,"학사3,4년",영어,1,
STA4035,보험통계학,3,3,,전문,"학사3,4년",영어,1,
STA4037,표본조사방법론및실습,3,2,2,전문,"학사3,4년",,2,
STA4038,표본설계,3,3,,전문,"학사3,4년",,1,
STA4039,생존분석,3,3,,전문,"학사3,4년",영어,2,
STA4040,베이지안통계학,3,3,,전문,"학사3,4년",영어,1,
